turn-based strategy	To End All Wars	http://www.metacritic.com/game/pc/to-end-all-wars	71	Aug 29, 2014	7.5	13
turn-based strategy	Halfway	http://www.metacritic.com/game/pc/halfway	69	Jul 22, 2014	6.1	17
turn-based strategy	Hearthstone: Curse of Naxxramas	http://www.metacritic.com/game/pc/hearthstone-curse-of-naxxramas	78	Jul 22, 2014	6.5	75
turn-based strategy	Magic: Duels of the Planeswalkers 2015	http://www.metacritic.com/game/pc/magic-duels-of-the-planeswalkers-2015	60	Jul 16, 2014	3.2	126
turn-based strategy	Battleplan: American Civil War	http://www.metacritic.com/game/pc/battleplan-american-civil-war	66	Jul  4, 2014	6.0	4
turn-based strategy	Qvadriga	http://www.metacritic.com/game/pc/qvadriga	72	Jun 13, 2014	4.7	13
turn-based strategy	Distant Worlds: Universe	http://www.metacritic.com/game/pc/distant-worlds-universe	81	May 23, 2014	8.0	96
turn-based strategy	Panzer Tactics HD	http://www.metacritic.com/game/pc/panzer-tactics-hd	69	May 22, 2014	tbd	0
turn-based strategy	King's Bounty: Dark Side	http://www.metacritic.com/game/pc/kings-bounty-dark-side	73	May 16, 2014	6.3	71
turn-based strategy	Jagged Alliance: Flashback	http://www.metacritic.com/game/pc/jagged-alliance-flashback	52	May 15, 2014	4.3	72
turn-based strategy	Bravada	http://www.metacritic.com/game/pc/bravada	70	May 14, 2014	7.6	10
turn-based strategy	Endless Legend	http://www.metacritic.com/game/pc/endless-legend	82	Apr 24, 2014	7.9	487
turn-based strategy	The Last Federation	http://www.metacritic.com/game/pc/the-last-federation	72	Apr 18, 2014	7.0	38
turn-based strategy	Warlock 2: The Exiled	http://www.metacritic.com/game/pc/warlock-2-the-exiled	73	Apr 10, 2014	7.1	81
turn-based strategy	Shadowrun Chronicles: Boston Lockdown	http://www.metacritic.com/game/pc/shadowrun-chronicles-boston-lockdown	61	Mar 31, 2014	7.1	53
turn-based strategy	Age of Wonders III	http://www.metacritic.com/game/pc/age-of-wonders-iii	80	Mar 31, 2014	8.0	550
turn-based strategy	Galactic Civilizations III	http://www.metacritic.com/game/pc/galactic-civilizations-iii	81	Mar 27, 2014	6.6	207
turn-based strategy	Hearthstone: Heroes of Warcraft	http://www.metacritic.com/game/pc/hearthstone-heroes-of-warcraft	88	Mar 11, 2014	6.2	1763
turn-based strategy	Might & Magic X: Legacy	http://www.metacritic.com/game/pc/might-magic-x-legacy	71	Jan 23, 2014	7.2	327
turn-based strategy	The Banner Saga	http://www.metacritic.com/game/pc/the-banner-saga	80	Jan 14, 2014	7.9	690
turn-based strategy	Pandora: First Contact	http://www.metacritic.com/game/pc/pandora-first-contact	68	Nov 14, 2013	7.4	51
turn-based strategy	XCOM: Enemy Within	http://www.metacritic.com/game/pc/xcom-enemy-within	86	Nov 11, 2013	8.0	718
turn-based strategy	Blackguards	http://www.metacritic.com/game/pc/blackguards	68	Nov  6, 2013	7.1	243
turn-based strategy	Battle Worlds: Kronos	http://www.metacritic.com/game/pc/battle-worlds-kronos	71	Nov  4, 2013	7.1	71
turn-based strategy	Agarest: Generations of War	http://www.metacritic.com/game/pc/agarest-generations-of-war	45	Oct  3, 2013	6.8	102
turn-based strategy	Arma Tactics	http://www.metacritic.com/game/pc/arma-tactics	47	Oct  1, 2013	5.6	31
turn-based strategy	Space Hulk	http://www.metacritic.com/game/pc/space-hulk	58	Aug 15, 2013	6.4	166
turn-based strategy	Worms Clan Wars	http://www.metacritic.com/game/pc/worms-clan-wars	73	Aug 15, 2013	7.0	61
turn-based strategy	Skulls of the Shogun	http://www.metacritic.com/game/pc/skulls-of-the-shogun	72	Jul 29, 2013	6.7	75
turn-based strategy	Sid Meier's Civilization V: Brave New World	http://www.metacritic.com/game/pc/sid-meiers-civilization-v-brave-new-world	85	Jul  8, 2013	8.6	647
turn-based strategy	Horizon	http://www.metacritic.com/game/pc/horizon	58	Jul  2, 2013	6.7	15
turn-based strategy	Magic: Duels of the Planeswalkers 2014	http://www.metacritic.com/game/pc/magic-duels-of-the-planeswalkers-2014	77	Jun 26, 2013	6.1	114
turn-based strategy	Endless Space: Disharmony	http://www.metacritic.com/game/pc/endless-space-disharmony	54	Jun 26, 2013	6.7	34
turn-based strategy	Skyward Collapse	http://www.metacritic.com/game/pc/skyward-collapse	64	May 23, 2013	8.0	28
turn-based strategy	Fallen Enchantress: Legendary Heroes	http://www.metacritic.com/game/pc/fallen-enchantress-legendary-heroes	80	May 22, 2013	7.7	157
turn-based strategy	Might & Magic: Heroes VI - Shades of Darkness	http://www.metacritic.com/game/pc/might-magic-heroes-vi---shades-of-darkness	66	May  2, 2013	5.3	81
