adventure	The Godfather II	http://www.metacritic.com/game/pc/the-godfather-ii	63	Apr  7, 2009	6.4	69
adventure	Leisure Suit Larry: Box Office Bust	http://www.metacritic.com/game/pc/leisure-suit-larry-box-office-bust	20	Mar 31, 2009	2.3	37
adventure	Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees	http://www.metacritic.com/game/pc/wallace-gromits-grand-adventures-episode-1-fright-of-the-bumblebees	76	Mar 23, 2009	7.5	13
adventure	The Path	http://www.metacritic.com/game/pc/the-path	79	Mar 18, 2009	7.0	115
adventure	Grey's Anatomy: The Video Game	http://www.metacritic.com/game/pc/greys-anatomy-the-video-game	36	Mar  4, 2009	3.9	20
adventure	Ceville	http://www.metacritic.com/game/pc/ceville	73	Feb 27, 2009	8.2	21
adventure	Emerald City Confidential	http://www.metacritic.com/game/pc/emerald-city-confidential	71	Feb 19, 2009	8.3	15
adventure	Art of Murder: Hunt for the Puppeteer	http://www.metacritic.com/game/pc/art-of-murder-hunt-for-the-puppeteer	56	Feb 17, 2009	6.1	11
adventure	Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough	http://www.metacritic.com/game/pc/strong-bads-cool-game-for-attractive-people-episode-5-8-bit-is-enough	82	Dec 15, 2008	7.5	26
adventure	Chronicles of Mystery: The Scorpio Ritual	http://www.metacritic.com/game/pc/chronicles-of-mystery-the-scorpio-ritual	62	Nov 26, 2008	5.6	12
adventure	CSI: NY	http://www.metacritic.com/game/pc/csi-ny	53	Nov 18, 2008	2.3	13
adventure	Strong Bad's Cool Game for Attractive People Episode 4: Dangeresque 3: The Criminal Projective	http://www.metacritic.com/game/pc/strong-bads-cool-game-for-attractive-people-episode-4-dangeresque-3-the-criminal-projective	81	Nov 17, 2008	8.5	11
adventure	Penny Arcade Adventures: Episode Two	http://www.metacritic.com/game/pc/penny-arcade-adventures-episode-two	80	Nov  7, 2008	7.7	22
adventure	Strong Bad's Cool Game for Attractive People Episode 3: Baddest of the Bands	http://www.metacritic.com/game/pc/strong-bads-cool-game-for-attractive-people-episode-3-baddest-of-the-bands	79	Oct 27, 2008	8.1	8
adventure	Nancy Drew: The Haunting of Castle Malloy	http://www.metacritic.com/game/pc/nancy-drew-the-haunting-of-castle-malloy	81	Oct 16, 2008	7.9	9
adventure	Everlight of Magic & Power	http://www.metacritic.com/game/pc/everlight-of-magic-power	63	Oct  7, 2008	tbd	0
